date,FA893065005.Q,FA893065105.Q,FA893065405.Q,FA893065505.Q,FA893065603.Q,FA893065005.Q,FA153165005.Q,FA143165005.Q,FA103165005.Q,FA113165005.Q,FA313165403.Q,FA893065005.Q,FA153065005.Q,FA103065005.Q,FA113065005.Q,FA313065005.Q,FA313065015.Q,FA313065075.Q,FA313065035.Q,FA313065095.Q,FA213065005.Q,FA703065005.Q,FA763065005.Q,FA753065005.Q,FA743065003.Q,FA473065100.Q,FA513065505.Q,FA543065005.Q,FA573065005.Q,FA223065043.Q,FA403065005.Q,FA403065015.Q,FA403065025.Q,FA403065045.Q,FA403065035.Q,FA403065653.Q,FA413065005.Q,FA413065015.Q,FA413065025.Q,FA413065045.Q,FA413065653.Q,FA413065035.Q,FA673065005.Q,FA613065000.Q,FA643065075.Q
1973:Q1,73820,45696,7268,16340,4516,73820,44496,29412,9740,19672,-88,73820,7416,1808,680,-644,-1796,1048,572,-468,1112,52300,51700,80,-16,536,-20,872,-856,648,4812,3160,-284,1936,0,0,3024,2340,880,-36,0,-160,0,832,1836
1973:Q2,82636,40276,13456,23020,5884,82636,33188,49520,26796,22724,-72,82636,-4544,3332,516,-4120,-3024,-852,184,-428,972,63476,63348,-24,-20,172,-12,3264,-300,756,6716,3368,1244,2104,0,0,5820,2804,292,1068,0,1656,0,3204,3556
1973:Q3,79672,42920,12680,20108,3964,79672,37668,42068,43676,-1608,-64,79672,-5636,3420,124,3840,2088,1140,460,152,1784,56200,55144,64,240,752,-8,4820,-312,268,9148,5672,1576,1900,0,0,1768,1728,168,-128,0,0,0,-188,4444
1973:Q4,74508,44152,8256,18684,3416,74508,44968,29600,44052,-14452,-60,74508,2256,1640,-180,-1432,-1604,52,268,-148,2932,39872,39236,88,244,304,-20,8728,60,1012,7616,4976,724,1916,0,0,3932,2672,-40,1004,0,296,0,5496,2596
1974:Q1,69332,42128,8656,14996,3552,69332,41576,27836,8164,19672,-80,69332,10624,1440,276,-296,-1700,1220,420,-236,1812,35504,35180,32,224,68,-8,3244,68,544,4516,2800,132,1584,0,0,6676,6660,32,80,0,-96,0,3104,1828
1974:Q2,69008,35360,7464,19688,6496,69008,34092,35004,2396,32608,-88,69008,-3176,184,208,3500,48,3156,284,12,1856,47664,47728,24,224,-312,-8,4180,-64,212,13084,7136,2216,3732,0,0,1692,2680,-56,-492,0,-440,0,-188,-136
1974:Q3,57876,34680,6848,10672,5676,57876,39352,18648,-11064,29712,-124,57876,-20,692,48,1408,1744,-2456,576,1544,1772,34016,32688,64,936,328,-4,4808,-36,372,13556,8328,2088,3140,0,0,5880,3028,-88,984,0,2828,0,-3324,-1292
1974:Q4,52516,29908,4532,13336,4740,52516,36640,16008,-2904,18912,-132,52516,6024,84,-100,6180,3176,-1656,740,3920,4440,19176,18380,72,520,204,-16,7228,16,1116,10220,3748,3492,2980,0,0,3684,3148,76,1776,0,472,0,-5180,-356
1975:Q1,46856,31204,-328,8528,7452,46856,32848,14024,-1836,15860,-16,46856,18832,-6228,-460,1072,3012,-3204,628,636,2196,16588,15664,460,100,364,-24,4048,148,12,5748,704,88,4956,0,0,11848,6284,1376,616,0,3948,0,-1764,-5160
1975:Q2,54224,34540,596,12108,6980,54224,32156,22236,4376,17860,-168,54224,2884,-3320,-328,8484,44,2152,772,5516,1792,36204,35448,532,120,104,84,2884,-124,420,5724,1044,1344,3336,0,0,4732,8388,368,652,0,-2804,0,-128,-5084
1975:Q3,58608,41672,320,14400,2216,58608,41996,16680,6372,10308,-68,58608,5268,-4120,-24,8032,3696,-204,1344,3196,1192,41544,40552,-248,240,1000,76,1456,-48,260,4996,4160,356,480,0,0,4728,4632,520,56,0,336,0,1100,-5852
1975:Q4,66028,47804,-540,15688,3076,66028,53992,12144,4872,7272,-108,66028,7100,-2736,248,8448,3616,-40,980,3892,1248,41844,41552,-404,244,452,120,3348,68,-1332,4996,3076,-184,2104,0,0,6904,6648,1100,352,0,8,0,-124,-4104
1976:Q1,81980,63528,5764,8912,3776,81980,59100,22968,-540,23508,-88,81980,13640,-520,296,2764,724,-1832,560,3312,-240,51216,50616,-80,96,584,0,1036,0,4,2644,1432,-1540,2752,0,0,10564,8888,1604,1416,0,36,0,1908,-1332
1976:Q2,74104,49804,5752,12496,6052,74104,47112,27080,9900,17180,-88,74104,-4336,-516,544,-4548,-8248,720,804,2176,1876,66020,66020,-12,88,-76,96,1116,0,320,1996,-616,-292,2904,0,0,11456,12620,616,276,0,-1436,0,1420,-1340
1976:Q3,88752,62012,5208,15088,6444,88752,60144,28736,11024,17712,-128,88752,-3520,-508,1116,3176,-1956,2100,124,2908,1544,69268,68356,-136,-16,1064,-4,1984,-40,8,5144,3736,-1040,2448,0,0,11872,12364,1412,1560,0,-1876,0,48,-1336
1976:Q4,93380,67324,3944,16148,5964,93380,66424,27016,9180,17836,-60,93380,2204,-508,1640,288,-3308,-1164,416,4344,1820,64316,64028,-156,-12,456,116,5412,164,428,2068,-232,0,2300,0,0,14836,15388,660,800,0,-668,0,1936,-1340
1977:Q1,107060,81356,4988,12844,7872,107060,77864,29328,4536,24792,-132,107060,17744,2580,676,868,-912,-2256,112,3924,620,63956,63352,8,8,588,216,1156,24,-192,144,-296,-2848,3288,0,0,18900,14752,3596,872,0,696,0,1016,-648
1977:Q2,125328,91500,10416,11580,11832,125328,81340,44108,11324,32784,-120,125328,-5308,2612,948,4808,-404,2172,268,2772,-884,97760,98240,44,8,-532,164,4360,476,720,7176,4352,-676,3500,0,0,10248,9252,3560,396,0,-1964,0,2896,-648
1977:Q3,136792,98536,8356,21788,8112,136792,92980,43912,16936,26976,-100,136792,-5004,2648,1608,5132,-1292,996,84,5344,1148,100808,99820,-84,156,916,108,4944,-212,-968,3764,920,-48,2892,0,0,17728,18064,3488,908,0,-2940,0,5732,-644
1977:Q4,144188,99416,9776,28664,6332,144188,94552,49736,22388,27348,-100,144188,2512,2656,2200,5920,284,244,236,5156,1336,94652,94380,-104,148,228,-44,10716,44,1676,3000,884,-400,2516,0,0,17564,15228,5112,1104,0,-2220,0,2612,-656
1978:Q1,136752,100080,10088,18584,8000,136752,99812,37036,12048,24988,-96,136752,22832,1800,1988,4436,924,-700,56,4156,2228,77684,77288,48,-428,776,-36,4292,248,164,9504,6636,-296,3164,0,0,10836,5844,3444,2632,0,1364,0,972,-196
1978:Q2,147644,101152,13780,21540,11172,147644,96672,51080,18076,33004,-108,147644,-212,1808,2228,3428,-32,-2240,184,5516,2336,102192,102780,76,-440,-224,-40,7760,352,656,10776,10900,-3824,3700,0,0,12396,6700,7808,-32,0,-1600,0,4156,-192
1978:Q3,160004,119024,9636,22132,9212,160004,111336,48772,13128,35644,-104,160004,988,1780,2840,7928,1108,3064,-260,4016,2120,99568,100236,40,56,-764,4,9228,236,644,14472,9744,1000,3728,0,0,12576,11248,4352,524,0,-2376,0,7884,-264
1978:Q4,163628,124636,9788,22356,6848,163628,120856,42852,7032,35820,-80,163628,6724,1896,3364,3492,-204,-1832,228,5300,3312,88588,89440,28,60,-940,100,15992,60,716,14240,8488,2380,3372,0,0,18608,14012,5524,1880,0,-804,0,6660,-124
1979:Q1,164192,121652,9804,18028,14708,164192,123344,40952,13020,27932,-104,164192,28000,3184,3424,7832,-244,120,228,7728,4400,67632,66496,64,64,1008,228,8640,308,844,18632,12396,1068,5168,0,0,19600,17888,2300,3612,0,-788,0,1560,-92
1979:Q2,166828,113608,9072,26144,18004,166828,105032,61960,1564,60396,-164,166828,856,3216,3204,6840,-92,976,-188,6144,5436,93728,94428,68,80,-848,-80,10572,-192,880,13284,7184,-72,6172,0,0,19516,14808,4964,2708,0,-332,0,9660,-92
1979:Q3,177680,123548,9972,30568,13592,177680,118596,59184,2908,56276,-100,177680,2816,3252,2664,6304,-172,732,-40,5784,6776,89768,88388,1316,84,-20,120,12556,872,1220,10932,3868,1628,5436,0,0,27212,24668,2852,2708,0,-344,0,13280,-92
1979:Q4,149380,104908,10524,24260,9688,149380,120812,28672,-9728,38400,-104,149380,5628,3252,2256,5428,1880,-436,132,3852,9224,64176,60296,1564,96,2220,768,17252,684,1128,14904,7672,1220,6012,0,0,25876,23116,3036,2060,0,-264,0,-1104,-92
1980:Q1,139228,98268,7916,17736,15308,139228,94832,44480,-8604,53084,-84,139228,8948,8448,-888,9984,268,6284,88,3344,8104,47068,39896,1568,-180,5784,496,15892,208,1800,20424,11596,700,8128,0,0,20704,20224,1096,2400,0,-636,0,-1856,-104
1980:Q2,96028,56484,5524,19808,14212,96028,63876,32280,-20536,52816,-128,96028,2316,8452,-48,8356,2188,2120,104,3944,10048,22340,20016,1564,180,580,188,12676,288,964,13828,5716,-888,9000,0,0,16248,13712,2664,2448,0,-188,0,480,-108
1980:Q3,139124,105264,7240,19676,6944,139124,99776,39464,-11616,51080,-116,139124,5748,8552,2044,5016,-308,600,176,4548,11040,55388,55188,1160,204,-1164,176,9992,832,1208,8204,852,2116,5236,0,0,22700,20724,2156,596,0,108,0,8336,-112
1980:Q4,150200,110188,9232,24316,6464,150200,104964,45324,1644,43680,-88,150200,8500,8544,3756,6668,1012,-132,-12,5800,9936,66828,64664,996,196,972,516,12076,372,1172,14152,6780,2088,5284,0,0,17072,17688,780,896,0,-908,0,716,-108
1981:Q1,123524,76964,5688,30432,10440,123524,73124,50520,3108,47412,-120,123524,17984,8356,6756,5500,736,-2620,468,6916,8788,39920,38200,1520,444,-244,244,7344,736,1104,9068,140,372,8556,0,0,13204,13240,852,5068,0,-1000,0,4560,-40
1981:Q2,147028,86844,4016,43832,12336,147028,86960,60176,23772,36404,-108,147028,20524,8452,7300,6152,584,-700,356,5912,8956,53320,52600,1984,652,-1916,368,6968,492,1744,11212,1180,384,9648,0,0,14364,13496,1992,1684,0,-720,0,7220,-44
1981:Q3,114396,58632,4348,41704,9712,114396,60008,54500,21592,32908,-112,114396,5924,8548,8668,2932,-2360,-4400,284,9408,7016,39432,38616,1492,604,-1280,408,5508,28,2392,16980,8100,660,8220,0,0,14076,12768,1484,2544,0,-48,0,2528,-44
1981:Q4,102164,47772,5112,42800,6480,102164,51036,51224,-848,52072,-96,102164,14784,8544,9764,5172,1532,2692,-160,1108,5968,18988,17128,1956,300,-396,368,6844,140,1276,13256,6920,-692,7028,0,0,18464,8156,7668,3976,0,-212,0,-1364,-40
1982:Q1,104052,61048,5052,31064,6888,104052,57644,46512,-2416,48928,-104,104052,28524,2384,6116,2292,-1308,936,180,2484,4536,5576,5532,1356,32,-1344,260,4332,0,1884,10988,4528,240,6220,0,0,34568,11212,16468,8004,0,-904,0,2512,80
1982:Q2,90592,44940,4216,36112,5324,90592,38036,52684,-14096,66780,-128,90592,6976,2408,5516,4132,924,-4536,-92,7836,4084,-1104,-1488,1584,-220,-980,168,3368,5892,944,15212,9856,-128,5484,0,0,37292,11468,18932,10160,0,-116,0,5620,84
1982:Q3,89152,40520,2816,42556,3260,89152,34008,55264,-16532,71796,-120,89152,4080,2440,4020,-216,-2236,-1552,-1888,5460,5632,-9252,-9232,900,-320,-600,212,3220,3900,1764,18156,15332,-396,3220,0,0,53120,13268,25716,15804,0,-68,0,1996,80
1982:Q4,119216,71440,9688,37232,856,119216,67464,51876,-5304,57180,-124,119216,32388,2440,2836,3248,468,3356,120,-696,6704,-32512,-31616,472,-292,-1076,396,6048,5636,424,12000,11892,-1732,1840,0,0,73152,16656,31328,25424,0,-92,0,6376,80
1983:Q1,151332,95456,4128,50832,916,151332,94124,57268,-14332,71600,-60,151332,13012,1712,2192,-1716,-1896,1164,208,-1192,6428,32428,30872,124,-288,1720,596,5360,5144,840,8764,7408,248,1108,0,0,71992,35996,20176,14564,0,676,0,4640,-60
1983:Q2,175904,102072,14964,55540,3328,175904,100540,75492,18692,56800,-128,175904,-3684,1736,3060,3156,-440,-1888,-212,5696,7480,71052,69112,-204,-376,2520,820,5584,2612,464,11440,4012,5760,1668,0,0,66176,45348,11704,12968,0,-1204,0,6076,-68
1983:Q3,206612,128536,20092,55040,2944,206612,124024,82644,19848,62796,-56,206612,-17684,1756,5200,1448,-672,-4020,-428,6568,7568,113400,112936,-564,-340,1368,824,10524,3440,200,5696,2020,2484,1192,0,0,73908,49284,12872,13812,0,-116,0,396,-64
1983:Q4,224300,138272,21780,61796,2452,224300,132128,92252,20956,71296,-80,224300,9340,1760,6924,1992,-320,6164,116,-3968,10068,110476,108072,1428,-196,1172,604,14572,-1780,2008,15692,12328,3104,260,0,0,53076,33012,14972,4388,0,-120,0,-360,-72
1984:Q1,235488,154060,24172,60260,-3004,235488,159416,76220,-5128,81348,-148,235488,29896,11772,9868,-1280,-1980,-188,-356,1244,9664,109400,108068,-3072,-40,4444,412,1208,-928,300,16112,10384,5388,340,0,0,44492,25640,5924,13424,0,4,0,4112,460
1984:Q2,257984,139376,32016,85116,1476,257984,128188,129892,29064,100828,-96,257984,-7512,11776,9920,972,-740,-3000,76,4636,11132,170756,167864,-632,92,3432,304,8920,-2092,836,9180,7576,528,1076,0,0,31124,18532,9032,5156,0,104,0,12216,452
1984:Q3,225336,114792,21668,88364,512,225336,115820,109628,17900,91728,-112,225336,-10672,11900,10052,-2536,-1304,-2428,-336,1532,9636,142720,139980,572,152,2016,360,7364,-1312,104,7272,6472,-124,924,0,0,48776,19508,10788,16488,0,2880,0,1220,452
1984:Q4,234848,135468,23084,80476,-4180,234848,134540,100352,5264,95088,-44,234848,-7204,11784,10184,6312,-352,2156,144,4364,10508,112796,105120,4836,120,2720,336,5308,2776,1176,14868,12396,3808,-1336,0,0,53796,16844,27432,11996,0,-2748,8000,3872,336
1985:Q1,294010,202928,21604,68278,1200,294010,199976,94134,-2210,96344,-100,294010,90752,5688,6792,804,-1348,-856,-76,3084,8224,82368,82012,-652,140,868,820,14903,5224,256,21012,17044,4596,-628,0,0,60184,23892,23748,14044,0,-76,2015,-5232,200
1985:Q2,239797,142852,25896,75621,-4572,239797,126976,112901,10533,102368,-80,239797,-11488,5824,5936,1988,-556,-1088,64,3568,8544,106788,103600,-292,172,3308,712,14690,3052,104,11360,11440,4112,-4192,0,0,68228,27884,26272,16184,0,360,7499,16260,300
1985:Q3,256265,176252,22696,68685,-11368,256265,217592,38725,-11699,50424,-52,256265,-31252,5904,3816,2320,-740,-852,44,3868,10400,130120,125440,364,176,4140,600,13387,-1772,-96,3068,8220,2052,-7204,0,0,88968,32404,34352,25380,0,-1372,3550,26940,312
1985:Q4,250052,198368,43804,66468,-58588,250052,195124,54972,22884,32088,-44,250052,-30984,10312,2144,2252,-668,624,128,2168,12064,116456,109336,1088,140,5892,568,17412,10620,-48,3004,6300,3732,-7028,0,0,98128,40476,33888,24588,0,-776,10808,-6088,3404
1986:Q1,250709,174568,28236,57769,-9864,250709,164416,86337,12733,73604,-44,250709,43108,-6280,-660,4,240,-116,108,-228,18448,69196,57324,1724,128,10020,1136,20333,-616,364,-9276,624,-1596,-8304,0,0,106892,36812,39800,29368,0,712,5712,1900,448
1986:Q2,269179,201048,31552,46555,-9976,269179,174464,94751,16127,78624,-36,269179,-25900,-6200,5092,992,-748,-536,108,2168,11508,80104,73360,1652,100,4992,880,22245,-3480,-812,-11868,-5940,2284,-8212,0,0,137940,35424,62264,41440,0,-4,10746,47348,584
1986:Q3,336074,257324,31904,56930,-10084,336074,246564,89558,21882,67676,-48,336074,-17268,-6708,4672,208,44,-452,100,516,8184,102956,93556,1624,108,7668,928,24548,-1532,668,-9232,-892,-3340,-5000,0,0,187296,48104,83872,56536,0,-456,10909,30244,200
1986:Q4,294074,182464,42224,79470,-10084,294074,230684,63406,13786,49620,-16,294074,-14228,-8248,-6332,4888,8,4556,148,176,9052,151132,134004,6728,124,10276,1092,21054,-5416,744,-17460,-1740,-7180,-8540,0,0,222780,85868,98004,42540,0,-3632,-54096,-9652,-1236
1987:Q1,331541,259476,14036,66193,-8164,331541,239456,92121,25293,66828,-36,331541,68052,1860,-6904,-1160,-808,-872,384,136,13724,82700,72432,-1256,152,11372,384,14431,-4636,-868,-15056,-10072,5504,-10488,0,0,175376,73676,59692,41960,0,48,9562,-6384,460
1987:Q2,337118,261868,18996,64510,-8256,337118,256160,80966,44030,36936,-8,337118,-16404,1312,-10048,-188,-80,-472,216,148,11452,160816,145032,5664,140,9980,1224,18678,-3152,-420,-14388,-6860,-1372,-6156,0,0,158828,48520,55956,54372,0,-20,15168,14280,-40
1987:Q3,280542,217596,17808,53486,-8348,280542,198704,81850,40634,41216,-12,280542,1504,2120,-8344,-21016,-836,-20428,752,-504,3896,161444,145624,5832,196,9792,472,17791,-2332,720,-496,1744,1372,-3612,0,0,127768,60372,30352,37064,0,-20,25159,-28752,608
1987:Q4,344167,224120,18128,110263,-8344,344167,218904,125267,80103,45164,-4,344167,-1828,2404,-1772,1208,-56,292,776,196,5696,209148,187072,10744,288,11044,504,38012,-2080,-308,-3324,104,-272,-3156,0,0,89240,36864,15048,37420,0,-92,4335,1992,940
1988:Q1,299229,191140,47932,65109,-4952,299229,201408,97821,28417,69404,0,299229,37904,17240,9104,408,-40,100,328,20,5356,144780,128880,8152,432,7316,580,21379,5636,468,11304,7508,6056,-2260,0,0,33788,4592,8360,21060,0,-224,7258,3440,584
1988:Q2,322309,246940,-9312,89637,-4956,322309,238056,84249,5425,78824,4,322309,-12240,16704,14124,-2752,-1568,-1236,404,-352,2712,140852,123744,7616,544,8948,520,18627,6620,756,9676,6988,4760,-2072,0,0,69896,15652,5724,48688,0,-168,7511,49228,76
1988:Q3,335198,227620,13380,99206,-5008,335198,218980,116226,38662,77564,-8,335198,-9616,17744,13448,-3664,88,-3724,524,-552,1016,188788,172388,8368,612,7420,548,21928,10856,-204,-3692,-1228,-536,-1928,0,0,103288,42244,22116,38912,0,16,10886,-17168,1040
1988:Q4,342004,229256,21256,96500,-5008,342004,222364,119656,43824,75832,-16,342004,-4080,18352,3072,1804,-152,728,504,724,6716,161832,143696,8432,636,9068,672,25930,10732,68,2704,-3424,7932,-1804,0,0,96600,29400,22888,44316,0,-4,10346,5652,1604
1989:Q1,216529,156209,13247,49109,-2036,216529,164701,51832,22748,29084,-4,216529,1932,-14116,-4860,-55,-3,-952,1064,-164,6308,115061,94174,6200,668,14019,820,19461,3856,-1884,-2948,-4684,5152,-3416,0,0,100687,28280,33155,39260,0,-8,6952,-14177,-508
1989:Q2,252772,208477,20683,25675,-2064,252772,212013,40762,7746,33016,-4,252772,9184,-13844,-14268,-3377,-5,-4276,592,312,7488,103463,88141,7764,712,6846,992,18510,6568,-56,6499,44,5631,824,0,0,96094,20227,42190,33680,0,-4,6969,28683,-132
1989:Q3,296818,255133,3333,40436,-2084,296818,253109,43714,6574,37140,-4,296818,9420,-14172,-15896,21,-1,1624,-1800,198,5148,78016,64356,9452,756,3451,972,23069,7228,708,10482,10460,2118,-2096,0,0,130118,29773,50784,49567,0,-6,-7588,69589,-296
1989:Q4,291742,285626,4774,3430,-2088,291742,298518,-6776,-33348,26572,0,291742,11451,-13516,-15776,485,-4,236,680,-427,6312,22533,9829,9088,788,2828,760,25360,8860,16,10105,10516,4805,-5216,0,0,170148,33080,59727,77345,0,-4,42439,22245,320
1990:Q1,290948,231576,7746,52737,-1112,290948,215316,75628,67824,7804,4,290948,12993,-1768,-6504,29437,-3,-204,724,28921,4912,76512,47593,22288,852,5778,620,26958,64,-472,9207,3784,6679,-1256,0,0,142464,34380,35463,72624,0,-3,-15777,12447,-144
1990:Q2,232190,244460,-23853,12708,-1124,232190,224668,7535,12063,-4528,-12,232190,10226,-1688,-3464,42974,-4,200,2048,40730,4936,-29888,-46029,11136,940,4066,548,15564,3476,248,-9330,3756,-14167,1081,0,0,156133,33975,54416,67748,0,-6,18914,23600,-60
1990:Q3,211917,186784,9355,16917,-1140,211917,198744,13177,17693,-4516,-4,211917,10951,-1684,-2600,54558,1,376,4726,49455,4704,-35708,-55156,11124,932,7393,388,6739,1740,272,6964,5468,2114,-617,0,0,137338,37612,25830,73900,0,-3,18743,9558,-48
1990:Q4,177294,169873,2252,6305,-1136,177294,190677,-13383,4197,-17580,0,177294,9508,-2804,-3808,15326,-3,680,2641,12007,6464,-71397,-94948,16832,824,5895,144,8691,1148,3000,15765,10468,5399,-102,0,0,165313,34976,58247,72094,0,-4,31716,-821,-952
1991:Q1,214747,177040,6217,31670,-180,214747,206308,8435,25619,-17184,4,214747,4502,5644,-5884,38641,2,-528,3386,35781,5440,-10957,-26804,14380,760,707,-104,4998,-6040,2004,12081,7680,5053,-652,0,0,121782,25303,47424,49065,0,-10,21220,22154,-736
1991:Q2,231084,213737,5053,12477,-184,231084,230433,655,-513,1168,-4,231084,7403,6056,-5300,34681,-2,491,3138,31054,2152,-40400,-58056,10276,748,6632,-372,5419,-8044,-960,11322,9652,2113,-443,0,0,142708,15113,51669,75930,0,-4,56625,19782,12
1991:Q3,-2220,74801,-30135,-46702,-184,-2220,89953,-92173,-27477,-64696,0,-2220,2584,5908,-5288,10064,-2,544,-580,10102,3368,-150709,-162510,3392,640,7770,-504,-5430,-5548,1412,1321,648,1028,-355,0,0,149316,35173,30843,83305,0,-4,53579,-62030,-264
1991:Q4,148142,191493,5858,-49025,-184,148142,206137,-57995,-29679,-28316,0,148142,-6908,5668,-3640,-21673,-2,589,1842,-24102,3072,-38526,-47541,7012,444,1559,-516,-37163,-7068,844,21398,10932,11611,-1145,0,0,132707,11178,41282,80253,0,-6,42384,57918,-356
1992:Q1,156201,193878,-708,-37398,428,156201,203442,-47241,-21929,-25312,0,156201,-5837,744,-2660,16798,-2,312,2379,14109,-36,-42120,-35717,-364,624,-6663,-492,-6346,-3932,-2852,32214,23832,8343,38,0,0,92953,-13366,34858,71466,0,-4,50722,27392,-348
1992:Q2,65422,108649,-15394,-28256,424,65422,121433,-56003,-26611,-29392,-8,65422,-6232,2108,-2360,-18944,0,-650,938,-19232,724,-78508,-93447,732,712,13495,-484,-22249,-4676,3572,17722,18820,-1093,-4,0,0,157039,3873,59677,93490,0,-0,53356,-37190,1544
1992:Q3,119351,179339,-13980,-46440,432,119351,191307,-71956,-36372,-35584,0,119351,-6366,352,356,-28761,16,171,1563,-30512,-552,-52682,-48659,-3496,840,-1367,-616,-21062,-2608,-3040,26353,14164,12032,157,0,0,98639,-3649,35860,66430,0,-3,75991,32943,404
1992:Q4,99293,187688,-22650,-66177,432,99293,202536,-103243,-73515,-29728,0,99293,-8742,1856,1244,-16854,16,93,1824,-18787,-312,-47658,-47289,-7648,1048,6231,-896,-20639,-3504,588,51984,44444,8144,-604,0,0,113600,-9973,63008,60570,0,-5,39203,-12437,1860
1993:Q1,44905,83379,-8404,-30619,548,44905,108327,-63423,-37623,-25800,0,44905,-8019,-8056,-6640,-17722,12,-662,378,-17451,156,-8945,-6953,-5480,1168,2320,-1204,-13450,432,-3232,22971,16613,6868,-510,-0,0,113074,10624,48301,54153,0,-4,25715,-50784,608
1993:Q2,148853,200727,-11324,-41102,552,148853,208207,-59354,-36946,-22408,0,148853,-8261,-8004,-2076,-22030,60,-333,425,-22182,-12020,36566,38574,-4944,1400,1535,-1584,-14247,-1296,-4556,72796,43171,29403,221,1,0,10834,-31214,4836,37214,0,-2,43972,57692,1068
1993:Q3,152743,179046,-5120,-21740,556,152743,180198,-27452,-6148,-21304,-4,152743,-8410,-7920,-1444,-12874,0,-88,-2123,-10663,-4448,14663,17224,-4792,1348,884,-1600,-17726,1976,2196,37298,32492,3930,875,1,0,113468,2450,50448,60573,0,-2,43800,-7324,1088
1993:Q4,118650,163390,6616,-51916,560,118650,172034,-53380,-34472,-18908,-4,118650,-8379,-8040,-3116,-9052,-8,-150,353,-9248,-4372,36576,43419,-10964,1084,3037,-1280,-28257,-7360,-2104,32047,20744,12707,-1402,-1,0,101498,-3660,54947,50213,0,-2,32157,-12128,460
1994:Q1,143336,174598,-504,-32214,1456,143336,168830,-25494,-10098,-15396,0,143336,-8005,6336,-4084,-16451,-84,-710,-421,-15237,-1604,-40720,-42151,-6096,844,6683,-676,-13456,-1748,432,25169,24506,1774,-1114,3,0,191423,48533,87828,55064,0,-2,49562,-47113,4272
1994:Q2,174033,170883,4747,-3074,1476,174033,160511,13521,13677,-156,0,174033,-8533,5808,7224,-1392,-8,643,-514,-1513,812,62476,62625,-4088,1856,2083,-676,-11216,64,1216,6330,11658,-6516,1177,11,0,128414,48689,47873,31856,0,-3,13473,-34812,4844
1994:Q3,173543,163424,-482,9109,1492,173543,145376,28167,24395,3772,0,173543,-8635,5196,1024,4270,-32,867,-590,4025,5724,75587,74020,-4360,1200,4727,-680,-2147,-8,332,-6368,954,-7574,251,1,0,85163,30299,24275,30591,0,-2,17780,-8067,4372
1994:Q4,167291,201053,-758,-34496,1492,167291,189133,-21842,-15322,-6520,0,167291,-8700,3660,3636,-17397,0,778,512,-18687,6080,149020,143842,-4652,2352,7478,-676,-6389,-19064,700,-10891,-2542,-8404,71,-15,0,56125,19951,14841,21336,0,-2,-291,10845,632
1995:Q1,184995,159867,-2321,25665,1784,184995,151159,33836,15052,18784,0,184995,-8224,1140,-3112,-4401,-24,303,389,-5069,5544,123991,120421,-5740,520,8789,-980,1133,784,792,125,2338,-239,-1962,-12,0,56238,27165,11868,17139,68,-2,13677,-3905,2192
1995:Q2,196429,177905,9000,7716,1808,196429,163693,32736,4740,27996,0,196429,-8367,1620,-1412,-14396,36,240,-2976,-11696,5648,88096,93807,-4672,1036,-2075,-976,-2483,788,644,4713,2257,2672,-242,26,0,68902,10878,16978,40980,68,-1,16303,35617,1732
1995:Q3,217494,185669,4700,25301,1824,217494,164329,53165,17437,35728,0,217494,-8367,1248,-2260,-8785,-32,-234,-2186,-6334,716,74024,73176,-3316,260,3904,-1024,17092,784,752,14481,10944,2950,586,2,0,102842,14515,25326,62935,68,-1,12951,10924,2116
1995:Q4,148944,148115,14472,-15471,1828,148944,136551,12393,-21015,33408,0,148944,-7206,364,-1428,-11302,-20,-269,121,-11134,3876,26749,26492,-6824,1856,5225,-936,-23450,788,768,5928,2057,2781,1105,-16,0,165321,32838,42628,89782,72,1,24494,-34045,-976
1996:Q1,309402,270914,3484,32321,2684,309402,257498,51905,20965,30940,0,309402,-7704,-5240,-1592,-13716,0,-788,-4820,-8108,2280,92959,89264,-7676,1460,9911,-980,-653,780,752,-15814,-26047,8331,1853,49,0,146555,28484,48502,69581,-8,-4,41842,70437,-504
1996:Q2,287429,235818,12988,35939,2684,287429,214282,73151,23379,49772,-4,287429,-8108,-4672,-2240,-1736,0,-188,-1348,-200,2144,87242,82091,-3576,300,8426,-16,-4059,780,792,-1269,-3928,988,1883,-212,0,157248,34759,36938,85559,-8,0,40498,21901,-1076
1996:Q3,224041,194982,9620,16723,2716,224041,167350,56695,17407,39288,-4,224041,-8288,-4508,-756,-5584,0,116,-5588,-112,4364,98349,92599,-328,516,5562,-112,-9496,792,808,-3967,-5753,936,871,-41,20,129690,35182,35438,59082,-8,-4,35983,-12634,-600
1996:Q4,246353,191287,23236,29117,2712,246353,194603,51757,11013,40744,-8,246353,-8264,-2820,-856,-1448,0,84,-2600,1068,7176,98410,86097,-20,-12,12345,-580,-8048,512,832,-4390,-5464,748,89,204,32,130415,37426,35958,57035,-4,0,26145,5228,4040
1997:Q1,293298,252205,976,36080,4036,293298,242297,51008,24052,26956,-8,293298,-8048,26760,-2792,-8104,0,-448,-7044,-612,3112,100289,97276,-5832,40,8805,312,-2650,1052,848,-12847,-8039,-5634,264,579,-16,130343,41040,35870,53409,24,0,46650,14832,3540
1997:Q2,280786,195188,16172,65346,4080,280786,186128,94658,38218,56440,0,280786,-7336,27736,-1088,-840,20,-336,-456,-68,4456,150085,152392,-9952,-24,7668,-468,-695,1100,856,-8970,-11462,2809,1181,-1579,80,82054,30462,8776,42788,28,0,38285,-11821,7432
